参数,S1一阶指数,ST全阶指数,交互效应,S1_CI_lo,S1_CI_hi,ST_CI_lo,ST_CI_hi,OAT效应
mu_r,0.079485,1.0,0.920515,0.039331,0.121811,1.0,1.0,0.137047
CV_r,0.053498,0.960257,0.906759,0.025756,0.085901,0.939095,0.980335,0.086732
s,0.061594,0.933508,0.871914,0.030044,0.105628,0.908862,0.958644,0.192217
alpha,0.068726,0.902711,0.833986,0.033544,0.106064,0.871357,0.932091,0.0367
phi,0.853789,0.876569,0.022779,0.801846,0.91489,0.841305,0.916764,0.349532
strategy,0.034532,0.441454,0.406921,0.009466,0.069626,0.392443,0.488634,0.096499
